customer_account_no,customer_name,created_on,created_by,updated_on,updated_by,fax_no,sponsor_name,po_box_no,email_address,telephone_no,state,street_no,zone,country,building_no,customer_category_id,unit_no,customer_group_code_id,customer_account_type,status_id,mobile_no,outlet_classification,latitude,outlet_type,department_id,outlet_category,parent_outlet,longtitude,cr_no,contact_person,sponsor_contact_no,area_name,area_name_id,cr_license,guarantee,customer_form,sponsor_id
07-331,AL SAFEER CENTRE,,,,,4626045/4653098,,2408,safeer@qatar.net.qa,4626177/5862041,DOHA,,,QATAR,,,,,2,1,4626117,,,,3,,,,,,,D RING ROAD,,,,,27063400291
07-336,AL-MEHDIA TRADING,,,,,4422089,,667,,4422089,DOHA,,7,QATAR,,,,,2,1,4422089,,,,3,,,,,,,Al Souq,,,,,24763400243
07-213,LULU HYPERMARKET TRDG.CO WLL,,,,,4667790/4659095,,9763,,4667780,DOHA,,42,QATAR,,,,,2,1,4667780,,,,3,,,,,,,Al Hilal,,,,,25763400132
07-345,"QATAR DUTY FREE CO.,",,,,,4626576,,22553,,4496363,DOHA,,48,QATAR,,,,,2,1,4496363,,,,3,,,,,,,Doha International Airport,,,,,25763400792
07-1668,AL ANDALUS PRIM. SCHOOL,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Al Gharafa,,,,,
07-350,GEANT HYPERMARKET,,,,,4693947,,22402,,4692996,DOHA,,,QATAR,,,,,2,1,4692996,,,,3,,,,,,,Al Azizia,,,,,
07-385,CENTRE GROCERY,,,,,,,30765,,4365156,DOHA,,27,QATAR,,,,,2,1,4365156,,,,3,,,,,,,Umm Ghuwailina,,,,,26863400183
07-337A,FOOD WORLD - 2,,,,,4780204,,16704,,4788944,DOHA,,,QATAR,,,,,2,1,4788944,,,,3,,,,,,,Al Gharafa,,,,,26063400592
07-376-4,AL MEERA CONSUMER GOOD CO.,,,,,4365554,,14022,rayyan@almira.com.qa,4368239,DOHA,,51,QATAR,,,,,2,1,4319446,,,,3,,,,,,,Gharrafat Al Rayyan,,,,,
07-264-1,AL MEERA CONSUMER GOOD CO.,,,,,4365554,,14022,Khalifa@Almira.com.qa,4368239,DOHA,,34,QATAR,,,,,2,1,4319446,,,,3,,,,,,,Madinat Khalifa South,,,,,
07-264-2,AL MEERA CONSUMER GOOD CO.,,,,,4365554,,14022,Khalifa@Almira.com.qa,4368239,DOHA,,,QATAR,,,,,2,1,4319446,,,,3,,,,,,,Dahal Al Hamam,,,,,
07-264-3,AL MEERA CONSUMER GOOD CO.,,,,,4365554,,14022,Khalifa@Almira.com.qa,4368239,DOHA,,71,QATAR,,,,,2,1,4319446,,,,3,,,,,,,Al Kharaitiyat,,,,,
07-187-1,FAMILY FOOD CENTRE,,,,,4448598,,5483,,4422456,DOHA,,39,QATAR,,,,,2,1,4422456,,,,3,,,,,,,Fereej Al Nasr,,,,,
07-187-2,FAMILY FOOD CENTRE,,,,,4448598,,5483,,4422456,DOHA,,45,QATAR,,,,,2,1,4422456,,,,3,,,,,,,Old Airport,,,,,
07-200-1,N.B.K & SONS TRD. CO. SHOPRITE,,,,,4883009,,20195,,4883007,DOHA,,45,QATAR,,,,,2,1,4883007,,,,3,,,,,,,Old Airport,,,,,
07-200-3,MEGAMART,,,,,4883009,,20195,,4883007,DOHA,,,QATAR,,,,,2,1,4883007,,,,3,,,,,,,THE CENTRE,,,,,
07-314-1,AL MEERA CONSUMER GOOD CO.,,,,,4365554,,3371,,4320222,DOHA,,,QATAR,,,,,2,1,4324206,,,,3,,,,,,,MUNTAZAH,,,,,
07-314-2,AL MEERA CONSUMER GOOD CO.,,,,,442709,,3371,,NULL,DOHA,,25,QATAR,,,,,2,1,324206,,,,3,,,,,,,Al Mansoura,,,,,
07-299-1,AL MEERA CONSUMER GOOD CO.,,,,,4834420,,8480,,4834478,DOHA,,61,QATAR,,,,,2,1,4834669,,,,3,,,,,,,Al Dafna,,,,,
07-325-2,MAJID AL FUTTAIM HYPERMARKETS WLL-,,,,,,,22340,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,LANDMARK,,,,,
07-216,GRAND SHOPPING CENTRE,,,,,4516793,,31075,,4688383,DOHA,,56,QATAR,,,,,2,1,4688383,,,,3,,,,,,,Abu Hamour,,,,,
07-337B,FOOD WORLD,,,,,4689631,,41259,,4688297,DOHA,,57,QATAR,,,,,2,1,4688297,,,,3,,,,,,,Industrial Area,,,,,
07-458,ANSAR GALLERY,,,,,4115950,,3726,,4115298,DOHA,,,QATAR,,,,,2,1,4115298,,,,3,,,,,,,City Centre,,,,,
07-1685,BAKE MART PLUS,,,,,4429190,,47576,,4441420/4514242,DOHA,,,QATAR,,,,,2,1,4441420,,,,3,,,,,,,"MIDMAC R/A, SALWA ROAD",,,,,
07-1684,NOOR AL WAKRA FOOD CENTRE,,,,,4647610,,80682,,4647610,DOHA,,,QATAR,,,,,2,1,4647610,,,,3,,,,,,,DOHA WAKRA ROAD,,,,,
07-364-3,WOQOD (QATAR FUEL),,,,,,,,,NULL,DOHA,,42,QATAR,,,,,2,1,,,,,3,,,,,,,Al Hilal,,,,,
07-15414,FAMILY FOOD LAND,,,,,4515631,,30791,,4510414,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,SALWA ROAD,,,,,
07-15415,FOOD CENTRE AL MAMOURA,,,,,4514310,,19728,,4514579/4514310,DOHA,,56,QATAR,,,,,2,1,,,,,3,,,,,,,Al Mamoura,,,,,
07-15418,ARWA SHOPPING CENTRE,,,,,4783242,,3696,,4783247,DOHA,,71,QATAR,,,,,2,1,,,,,3,,,,,,,Al Kharaitiyat,,,,,
07-1689,NAJMAH FIRDOUS TRADING CO WLL,,,,,4369433,,15201,,4361355/4430749,DOHA,,7,QATAR,,,,,2,1,4361355,,,,3,,,,,,,Al Souq,,,,,
07-1691,K MART,,,,,,,18094,,5511838,DOHA,,61,QATAR,,,,,2,1,,,,,3,,,,,,,Al Dafna,,,,,
07-213-1,LULU HYPERMARKET TRDG.CO WLL,,,,,4074111,,9763,,4074000,DOHA,,,QATAR,,,,,2,1,4074000,,,,3,,,,,,,Al Gharafa,,,,,
07-1697,QATAR SHOPPING COMPLEX,,,,,4113999,,75347,,4113555,DOHA,,,QATAR,,,,,2,1,5535901,,,,3,,,,,,,MARKHIYA R/A,,,,,
07-337-1,FOOD WORLD WLL,,,,,4711349,,100036,,4711342,DOHA,,86,QATAR,,,,,2,1,,,,,3,,,,,,,Dukhan,,,,,
07-1699,RETAIL MART,,,,,4643977,,9138,,4642023,DOHA,,90,QATAR,,,,,2,1,4642023,,,,3,,,,,,,Al Wakrah,,,,,26063400592
07-1700,GRAND HYPERMARKET,,,,,4727825,,31075,,4727824,DOHA,,71,QATAR,,,,,2,1,44689844,,,,3,,,,,,,Al Kharaitiyat,,,,,
07-364-4,WOQOD (QATAR FUEL),,,,,,,,,NULL,DOHA,,86,QATAR,,,,,2,1,,,,,3,,,,,,,Dukhan,,,,,
07-364-5,WOQOD (QATAR FUEL),,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Al Rayyan,,,,,
07-1701,HIGHLAND HYPERMARKET,,,,,4901173,,14651,,4901174,DOHA,,,QATAR,,,,,2,1,4901174,,,,3,,,,,,,SHAMAL ROAD,,,,,
07-364-6,WOQOD (QATAR FUEL),,,,,,,,,NULL,DOHA,,57,QATAR,,,,,2,1,,,,,3,,,,,,,Industrial Area,,,,,
07-289-2,SALWA FAMILY SHOPPING COMPLEX WLL,,,,,4216922,,40457,,4216625/4216922,DOHA,,,QATAR,,,,,2,1,4216625/922,,,,3,,,,,,,SALWA ROAD,,,,,
07-1705,LANDMART HYPERMARKET,,,,,4506600,,16772,,4504400,DOHA,,57,QATAR,,,,,2,1,4504400,,,,3,,,,,,,Industrial Area,,,,,
07-1708,THE PHILIPPINE STORE WLL,,,,,4131519,,40926,,4274721,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,AL DEFAAF,,,,,
07-1710,FOOD PLUS HYPERMARKET,,,,,4726338,,60926,,4721229/4721206,DOHA,,74,QATAR,,,,,2,1,,,,,3,,,,,,,Al Khor,,,,,
07-364-7,WOQOD (QATAR FUEL),,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Al Gharafa,,,,,
07-200-4,NBK - MEGA MART EXPRESS,,,,,4516305,,20195,nbktcs@qatar.net.qa,4516901,DOHA,,,QATAR,,,,,2,1,4516901,,,,3,,,,,,,AL RAYYAN,,,,,
07-1713,KABAYAN INTL HYPER MARKET,,,,,4796658,,60463,,4112482,DOHA,,74,QATAR,,,,,2,1,4112482,,,,3,,,,,,,Al Khor,,,,,
07-1714,SAHARAN FOOD STUFF,,,,,4671661,,6449,,4677261,DOHA,,42,QATAR,,,,,2,1,4677261,,,,3,,,,,,,Al Hilal,,,,,
07-1716,REGENCY HYPERMARKET,,,,,4503060,,10407,,4505500,DOHA,,56,QATAR,,,,,2,1,4505500,,,,3,,,,,,,Abu Hamour,,,,,
07-213-2,LULU EXPRESS,,,,,44446606,,9763,,44446006,DOHA,,,QATAR,,,,,2,1,44446006,,,,3,,,,,,,NASRIYA,,,,,
07-360-2,SAFARI MALL,,,,,44902082,,20545,,44510724,DOHA,,56,QATAR,,,,,2,1,44696196,,,,3,,,,,,,Abu Hamour,,,,,26663400983
07-364-8,WOQOD (QATAR FUEL),,,,,44308839,,7777,,44308888,DOHA,,,QATAR,,,,,2,1,44308839,,,,3,,,,,,,Al Markhiya,,,,,
07-1719,MASSKAR HYPERMARKET WLL,,,,,44119213,,96178,,44029522,DOHA,,53,QATAR,,,,,2,1,44029522,,,,3,,,,,,,Muaither,,,,,
07-364-9,WOQOD (QATAR FUEL),,,,,44308839,,7777,,44308888,DOHA,,,QATAR,,,,,2,1,44308888,,,,3,,,,,,,West Bay,,,,,
07-1721,PARK N SHOP HYPERMARKET,,,,,44161313,,201923,,44161414,DOHA,,,QATAR,,,,,2,1,44161737,,,,3,,,,,,,Ain Khalid,,,,,
07-1722,LACIGALE HOTEL,,,,,44288888,,25555,,44288000,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,SUHAIM BIN HAMAD,,,,,
07-36410,WOQOD (QATAR FUEL),,,,,44308839,,7777,,44308888,DOHA,,80,QATAR,,,,,2,1,44308888,,,,3,,,,,,,Al Shahaniya,,,,,
07-1724,QATAR BIG MART,,,,,44807786,,96107,,44818786,DOHA,,53,QATAR,,,,,2,1,44818786,,,,3,,,,,,,Muaither,,,,,
07-36411,WOQOD (QATAR FUEL),,,,,,,7777,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Qatar University,,,,,
07-1729,MARS SHOPPING CENTER,,,,,44806447,,21651,,44821064,DOHA,,53,QATAR,,,,,2,1,,,,,3,,,,,,,New Al Rayyan,,,,,
07-36412,WOQOD (QATAR FUEL),,,,,,,7777,,NULL,DOHA,,70,QATAR,,,,,2,1,,,,,3,,,,,,,Al Daayen,,,,,
07-16971,QATAR SHOPPING COMPLEX-2,,,,,44180786,,63073,,44181786,DOHA,,53,QATAR,,,,,2,1,44818786,,,,3,,,,,,,Muaither,,,,,
07-200-5,MEGA MART,,,,,,,,,NULL,DOHA,,90,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wakrah,,,,,
07-350-4,GEANT HYPERMARKET,,,,,44685864,,,,44692994,DOHA,,90,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wakrah,,,,,
07-325-3,MAJID AL FUTTAIM HYPERMARKETS WLL,,,,,,,22340,,44846209,DOHA,,,QATAR,,,,,2,1,44846209,,,,3,,,,,,,West Bay,,,,,
07-36413,WOQOD (QATAR FUEL),,,,,,,7777,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,NEAR AQUAPARK,,,,,
07-314-9,AL MEERA CONSUMER GOOD CO.,,,,,,,3371,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,AL SHAMAL,,,,,
07-31410,AL MEERA CONSUMER GOOD CO.,,,,,,,3371,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,ABU NAKHLA,,,,,
07-1732,SANA SUPERMARKET,,,,,,,17933,,44417685,DOHA,,28,QATAR,,,,,2,1,44417685,,,,3,,,,,,,RAS ABU ABOUD,,,,,
07-31411,AL MEERA CONSUMER GOOD CO.,,,,,44365554,,3371,info@almira.com.qa,44320222,DOHA,,,QATAR,,,,,2,1,44320222,,,,3,,,,,,,WINTER CAMP,,,,,
07-36414,WOQUD (QATAR FUEL),,,,,,,,,NULL,DOHA,,55,QATAR,,,,,2,1,,,,,3,,,,,,,Al Sailiya,,,,,
07-31412,AL MEERA CONSUMER GOOD CO.,,,,,44365554,,3371,,44320222,DOHA,,45,QATAR,,,,,2,1,44320222,,,,3,,,,,,,Old Airport,,,,,
07-36415,WOQUD (QATAR FUEL),,,,,,,7777,,44308185,DOHA,,53,QATAR,,,,,2,1,44308185,,,,3,,,,,,,Muaither,,,,,
07-36416,WOQUD (QATAR FUEL),,,,,,,7777,,44308185,DOHA,,,QATAR,,,,,2,1,44308185,,,,3,,,,,,,SIDRA QATAR FOUNDATION,,,,,
07-325-4,MAJID AL FUTTAIM HYPERMARKETS WLL,,,,,,,22340,,44846209,DOHA,,,QATAR,,,,,2,1,44846209,,,,3,,,,,,,Dar Al Salam,,,,,
07-36417,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,BU FASEELA,,,,,
07-36418,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,KATARA VILLAGE,,,,,
07-213-3,LULU HYPERMARKET,,,,,44667790,,9763,,44667780,DOHA,,74,QATAR,,,,,2,1,44667780,,,,3,,,,,,,Al Khor,,,,,
07-36419,WOQOD (QATAR FUEL),,,,,,,7777,,40217218,DOHA,,,QATAR,,,,,2,1,40217218,,,,3,,,,,,,Al Lekhdeira,,,,,
07-36420,WOQOD (QATAR FUEL),,,,,,,7777,,40217218,DOHA,,,QATAR,,,,,2,1,40217218,,,,3,,,,,,,WOQOD TOWER,,,,,
07-36421,WOQOD (QATAR FUEL),,,,,,,7777,,40217433,DOHA,,,QATAR,,,,,2,1,40217433,,,,3,,,,,,,RAWDATH HAMAMA,,,,,
07-1741,NATURE GROUP,,,,,,,10187,,NULL,DOHA,,74,QATAR,,,,,2,1,,,,,3,,,,,,,Al Khor,,,,,2663400371
07-325-5,MAJID AL FUTTAIM HYPERMARKETS WLL,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Ezdan,,,,,
07-1742,MONOPRIX,,,,,44312409,,75,,44469888,DOHA,,,QATAR,,,,,2,1,55782509,,,,3,,,,,,,WEST BAY,,,,,
07-15859,VENDEX INT'L TRADING CO.,,,,,4464 5621,,3090,,4478 6984,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Al Markhiya,,,,,26663400973
07-1743,GRAND MALL W.L.L,,,,,44113611,,40465,,44113511,DOHA,,56,QATAR,,,,,2,1,44113511,,,,3,,,,,,,Mesaimeer,,,,,
07-31415,AL MEERA CONSUMER GOOD CO.,,,,,,,3311,,44320222,DOHA,,,QATAR,,,,,2,1,44324206,,,,3,,,,,,,Qatafiyah,,,,,
07-11411,GRAND MART TRADING CO. WLL,,,,,44654849,,13037,,44357214,DOHA,,,QATAR,,,,,2,1,44357214,,,,3,,,,,,,NEW DOHA,,,,,
07-36422,WOQOD (QATAR FUEL),,,,,,,7777,,40217433,DOHA,,96,QATAR,,,,,2,1,40217433,,,,3,,,,,,,Abu Samra,,,,,
07-36423,WOQOD (QATAR FUEL),,,,,,,7777,,40217433,DOHA,,66,QATAR,,,,,2,1,40217433,,,,3,,,,,,,The Pearl,,,,,
07-36424,WOQOD (QATAR FUEL),,,,,,,7777,,40217433,DOHA,,92,QATAR,,,,,2,1,40217433,,,,3,,,,,,,Mesaieed,,,,,
07-36425,WOQOD(QATAR FUEL),,,,,,,7777,,40217433,DOHA,,92,QATAR,,,,,2,1,40217433,,,,3,,,,,,,Mesaieed,,,,,
07-16991,RETAIL MART,,,,,,,9138,,44276968,DOHA,,57,QATAR,,,,,2,1,44276968,,,,3,,,,,,,Industrial Area,,,,,
07-31416,AL MEERA CONSUMER GOOD CO.,,,,,,,,,NULL,DOHA,,74,QATAR,,,,,2,1,,,,,3,,,,,,,Al Khor,,,,,
07-31417,AL MEERA CONSUMER GOOD CO.,,,,,,,,,NULL,DOHA,,74,QATAR,,,,,2,1,,,,,3,,,,,,,Al Khor,,,,,
07-200-6,NBK-MEGA MART,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Ain Khalid,,,,,
07-1746,WH SMITH LLC,,,,,,,25422,,44023038,DOHA,,48,QATAR,,,,,2,1,,,,,3,,,,,,,Doha International Airport,,,,,
07-4581,ANSAR GALLERY,,,,,44569986,,3726,,44486000,DOHA,,74,QATAR,,,,,2,1,44486000,,,,3,,,,,,,Al Khor,,,,,
07-4582,ANSAR GALLERY,,,,,44569986,,3726,,44486000,DOHA,,53,QATAR,,,,,2,1,44486000,,,,3,,,,,,,New Al Rayyan,,,,,
07-213-4,LULU HYPERMARKET,,,,,,,,,NULL,DOHA,,56,QATAR,,,,,2,1,,,,,3,,,,,,,Mesaimeer,,,,,
07-17001,RAWABI MINI HYPER MARKET,,,,,4468 9839,,21651,,4468 9892,DOHA,,71,QATAR,,,,,2,1,,,,,3,,,,,,,Umm Salal Ali,,,,,27363402363
07-31418,AL MEERA CONSUMER GOOD CO.,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Mureikh,,,,,
07-31419,AL MEERA CONSUMER GOOD CO.,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Al Azizia,,,,,
07-31420,AL MEERA CONSUMER GOOD CO.,,,,,,,3371,,NULL,DOHA,,53,QATAR,,,,,2,1,,,,,3,,,,,,,Muaither,,,,,
07-36426,WOQOD(QATAR FUEL,,,,,,,,,NULL,DOHA,,53,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wajba,,,,,
07-36427,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Al Lejmiliya,,,,,
07-31421,AL MEERA CONSUMER GOOD CO.,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Qatar University,,,,,
07-1748,DIAMOND SHOPPING CENTER,,,,,44147319,,44206,,44147320,DOHA,,80,QATAR,,,,,2,1,,,,,3,,,,,,,Al Shahaniya,,,,,27263400918
07-1749,STOP N SHOP,,,,,44641726,,44206,,44641606,DOHA,,90,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wakrah,,,,,27263400918
07-1750,TWENTY FOUR SEVEN,,,,,44154011,,1391,,44154011,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,SALWA ROAD,,,,,29063401120
07-31422,AL MEERA CONSUMER GOOD CO.,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,GULF MALL,,,,,
07-4583,ANSAR GALLERY CENTER,,,,,,,3726,,40061211,DOHA,,56,QATAR,,,,,2,1,,,,,3,,,,,,,Mesaimeer,,,,,27463400027
07-1753,WORLD WIDE GROUP FOR TRAD & CONT,,,,,44500769,,92637,,44502279,DOHA,,,QATAR,,,,,2,1,44502279,,,,3,,,,,,,Al Azizia,,,,,
07-1754,RAMEZ SHOPPING,,,,,44134467,,22610,,44134502,DOHA,,90,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wakrah,,,,,
07-31423,AL MEERA CONSUMER GOOD CO.,,,,,,,,,NULL,DOHA,,75,QATAR,,,,,2,1,,,,,3,,,,,,,Al Thakhira,,,,,
07-17541,RAMEZ SHOPPING,,,,,44134467,,22610,,44134502,DOHA,,56,QATAR,,,,,2,1,,,,,3,,,,,,,Abu Hamour,,,,,
07-31424,AL MEERA CONSUMER GOOD CO.,,,,,,,,,NULL,DOHA,,90,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wakrah,,,,,
07-36428,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,66,QATAR,,,,,2,1,,,,,3,,,,,,,Leqtaifiya,,,,,
07-31425,AL MEERA CONSUMER GOOD CO.,,,,,,,,,NULL,DOHA,,53,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wajba,,,,,
07-36429,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,90,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wakrah,,,,,
07-31426,AL MEERA CONSUMER GOOD CO.,,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Al Thumama(Doha),,,,,
07-4584,ANSAR GALLERY,,,,,,,,,NULL,DOHA,,45,QATAR,,,,,2,1,,,,,3,,,,,,,Old Airport,,,,,
07-36430,WOQOD (QATAR FUEL),,,,,,,,,NULL,DOHA,,75,QATAR,,,,,2,1,,,,,3,,,,,,,Al Thakhira,,,,,
07-17431,GRAND EXPRESS W.L.L,,,,,44113611,,40465,grandqatar@grandhyper.com,44113511,DOHA,,91,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wukair,,,,,25763400792
07-17422,MONOPRIX,,,,,,,,,NULL,DOHA,,71,QATAR,,,,,2,1,,,,,3,,,,,,,Umm Salal Ali,,,,,
07-36439,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,90,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wakrah,,,,,
07-36440,WOQOD (QATAR FUEL),,,,,,,,,NULL,DOHA,,52,QATAR,,,,,2,1,,,,,3,,,,,,,Old Al Rayyan,,,,,
07-36441,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,3,QATAR,,,,,2,1,,,,,3,,,,,,,Mushayrib,,,,,
07-31434,AL MEERA CONSUMER GOOD CO.,,,,,,,,,NULL,DOHA,,71,QATAR,,,,,2,1,,,,,3,,,,,,,Umm Salal Mohammed,,,,,
07-36442,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,27,QATAR,,,,,2,1,,,,,3,,,,,,,Umm Ghuwailina,,,,,
07-36443,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,ABUNAKHALA,,,,,
07-187-4,FAMILY FOOD CENTRE,,,,,,,5483,,4447 7456,DOHA,,70,QATAR,,,,,2,1,,,,,3,,,,,,,Al Kheesa,,,,,
07-36446,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,MUNTAZAH,,,,,
07-36447,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,THEMAID,,,,,
07-36448,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,,QATAR,,,,,2,1,,,,,3,,,,,,,Al Shamal,,,,,
07-36449,WOQOD(QATAR FUEL),,,,,,,,,NULL,AL KHOR,,,QATAR,,,,,2,1,,,,,3,,,,,,,AL EQDA,,,,,
07-36450,WOQOD(QATAR FUEL),,,,,,,,,NULL,DOHA,,91,QATAR,,,,,2,1,,,,,3,,,,,,,Al Wukair,,,,,
07-31435,AL MEERA CONSUMER GOOD CO.,,,,,,,,,NULL,DOHA,,70,QATAR,,,,,2,1,,,,,3,,,,,,,Umm Qarn,,,,,
07-31436,AL MEERA CONSUMER GOOD CO.,,,,,,,,,NULL,DOHA,,74,QATAR,,,,,2,1,,,,,3,,,,,,,Al Khor,,,,,
